dcterms:modified	institutionCode	collectionCode	basisOfRecord	catalogNumber	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	sex	lifeStage	preparations	individualCount	otherCatalogNumbers	occurrenceRemarks	samplingProtocol	identificationQualifier	habitat	associatedTaxa	georeferenceRemarks	verbatimCoordinates	verbatimSRS	associatedMedia	CreativeCommonsLicense	ArtObsID	occurrenceID	UTMsone	UTMX	UTMY	datasetName	
2013-09-30	O	F	Preserved specimen	83297	Thelephora palmata	(Scop. : Fr.) Fr.									Hans K. Holm, Arne Bratsberg	1951-10-05				Hans K. Holm, Arne Bratsberg	1951-10-05		Norway	Østfold	Hobøl	Vegger, Tomter	11.0149	59.6697	707											På jord i blandingsskog.		GS	32V PM 13,16	ED50					33	275586	6621517		
2013-09-30	O	F	Preserved specimen	288133	Cronartium ribicola	J.C. Fisch.									Kåre Arnstein Lye	2007-08-26		30797		Kåre Arnstein Lye	2007-08-26		Norway	Østfold	Hobøl	Hobøl: Tomter sogn, sørenden av Mjær	11.0454	59.6872	71	112 m										On the host Ribes nigrum (Grossulariaceae), overvokst busk		OR	32V PM 151,183	WGS84					33	277428	6623210		
2019-01-15	O	F	Preserved specimen	234192	Naohidemyces vacciniorum	(Link) Spooner									Ivar Jørstad	1958-09-12				Ivar Jørstad	1958-09-12		Norway	Oppland	Gjøvik	Snertingdal: Sør-Kråkhuguet, NV f. Tomterseteren	10.2864	60.9793	500													GS	33V 245047,6769661	WGS84					33	245047	6769661		
2018-11-01	O	F	Preserved specimen	203131	Sphaerotheca melampyri	L. Junell									Anon.					Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snertingdal: Tomterseteren i Sør-Kråkhuguet	10.2864	60.9793	500													GS	33V 245047,6769661	WGS84					33	245047	6769661		
2013-09-30	O	F	Preserved specimen	52354	Tricholomopsis decora	(Fr. : Fr.) Singer									Gro Gulden					Margaret Johansen	1964-10-09		Norway	Østfold	Hobøl	Tomter	11.0029	59.66	1710													GS	32V PM 118-138,139-165	WGS84					33	274857	6620329		
2019-01-15	O	F	Preserved specimen	232653	Triphragmium ulmariae	(DC.) Link									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snertingdal: Tomterseteren i Sør-Kråkhuguet	10.2864	60.9793	500	Ca. 700 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
2019-01-15	O	F	Preserved specimen	201075	Gymnosporangium cornutum	Arthur ex F. Kern									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snerttingdal: Tomterseteren i Sør-Kråkhuguet	10.2864	60.9793	500	Ca. 700 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
2013-09-30	O	F	Preserved specimen	70521	Cortinarius sulfurinus	Quél.									Tor Erik Brandrud					Petter Tomter	1993-09-04		Norway	Oppland	Gran	Tingelstad, Askimlandet (S for Røykenvika)	10.4788	60.3952	707											kalkgranskog		GS	32V NM 81,96	ED50					33	250954	6704135		
2013-09-30	O	F	Preserved specimen	243074	Frommeëlla tormentillae	(Fuckel) Cummins & Hirats.									Kåre Arnstein Lye	2010-08-17		32467		Kåre Arnstein Lye	2010-08-17		Norway	Østfold	Hobøl	Hobøl k.: Tomter sokn, Bognerud,	11.0527	59.6907	71	150 m										ved siden av skogsveg		OR	32V PM 155,187	WGS84					33	277863	6623573		
2019-01-15	O	F	Preserved specimen	222212	Erysiphe valerianae	(Jacz.) S. Blumer									Ivar Jørstad	1959-07-21				Ivar Jørstad	1959-07-21		Norway	Oppland	Gjøvik	Snertingdal: nedenfor Tomter	10.3288	60.8967	500													GS	33V 246683,6760313	WGS84					33	246683	6760313		
2019-01-15	O	F	Preserved specimen	237078	Puccinia vaginatae	Juel									Ivar Jørstad	1958-09-18				Ivar Jørstad	1958-09-18		Norway	Oppland	Gjøvik	Snertingdal: Tomter	10.3324	60.8998	500													GS	33V 246900,6760645	WGS84					33	246900	6760645		
2013-09-30	O	F	Preserved specimen	293893	Puccinia cnici-oleracei	Pers.									Kåre Arnstein Lye	2010-08-09		32423		Kåre Arnstein Lye	2010-08-09		Norway	Østfold	Hobøl	Hobøl: Tomter sokn, Tolshus	10.9901	59.653	71	110 m										På vegkant mot åker		OR	32V PM 121,144	WGS84					33	274087	6619595		
2013-09-30	O	F	Preserved specimen	152658	Asterophora lycoperdoides	(Bull. : Fr.) Ditmar									Finn Roll-Hansen	1942-08-16				Finn Roll-Hansen	1942-08-16		Norway	Akershus	Ås	Mellom Vold og Tomter	10.7623	59.6581	1278											i granskog		GS	32V NM-PM 982-003,140-152	WGS84					33	261301	6620955		
2019-01-15	O	F	Preserved specimen	235072	Pucciniastrum pyrolae	Dietel ex Arthur									Ivar Jørstad	1942-06-27				Ivar Jørstad	1942-06-27		Norway	Oppland	Gjøvik	Snertingdal: Tomter	10.3324	60.8998	500													GS	33V 246900,6760645	WGS84					33	246900	6760645		
2019-01-15	O	F	Preserved specimen	190380	Melampsora laricis-pentandrae	Kleb.									Ivar Jørstad	1958-09-18				Ivar Jørstad	1958-09-18		Norway	Oppland	Gjøvik	Snertingdal: nedenfor Tomter	10.3288	60.8967	500													GS	33V 246683,6760313	WGS84					33	246683	6760313		
2013-09-30	O	F	Preserved specimen	213092	Taphrina betulina	Rostr.									Ivar Jørstad					F. Werenskiold	1886-07		Norway	Akershus	Ås	Aas: (Gaarden Tomter)	10.7728	59.6566	707													GS	32V NM-PM 994-003,140-149	WGS84					33	261885	6620752		
2019-01-15	O	F	Preserved specimen	199140	Uromyces geranii	(DC.) G.H. Otth & Wartm.									Ivar Jørstad	1942-06-27				Ivar Jørstad	1942-06-27		Norway	Oppland	Gjøvik	Snertingdal: Tomter	10.3324	60.8998	500													GS	33V 246900,6760645	WGS84					33	246900	6760645		
2019-01-15	O	F	Preserved specimen	144828	Trametes ochracea	(Pers.) Gilb. & Ryvarden									Ivar Jørstad	1942-06-28				Ivar Jørstad	1942-06-28		Norway	Oppland	Gjøvik	Tomter	10.3324	60.8998	500											bjørk		GS	33V 246900,6760645	WGS84					33	246900	6760645		
2013-09-30	O	F	Preserved specimen	288132	Coleosporium tussilaginis	(Pers.) Lév.									Kåre Arnstein Lye	2007-08-23		30762		Kåre Arnstein Lye	2007-08-23		Norway	Østfold	Hobøl	Hobøl: Tomter, ved nyanlegget nord for Tomter gravkapell.	11.0114	59.6545	71	115 m										On the host Sonchus arvensis (Asteraceae), ugras i nyanlagt plen		OR	32V PM 133,146	WGS84					33	275301	6619686		
