PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"169522";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Hylidae";;;;"Trachycephalus";;;;;;;"127390";"161258";;;"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140130;169522;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216719";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Hylidae";;;;"Osteopilus";;;;;;;"127390";"209875";;"Fitzinger, 1843";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205258;216719;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216720";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Hylidae";;;;"Osteopilus";;;"septentrionalis";;;;"216719";"209876";;"(A.M.C. Duméril & Bibron, 1841)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205259;216720;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169523";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Hylidae";;;;"Trachycephalus";;;"resinifictrix";;;;"169522";"161259";;"(Goeldi, 1907)";"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140131;169523;"Nei";"amasonasmelkefrosk";;"Bokmål";"Ja";16.01.2017;16.01.2017;;;;;;;;;;;;;;;;
"169521";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Hylidae";;;;"Litoria";;;"caerulea";;;;"169520";"161257";;"(White, 1790)";"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140129;169521;"Nei";"whites løvfrosk";;"Bokmål";"Ja";16.01.2017;16.01.2017;;;;;;;;;;;;;;;;
"127389";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Pelobatidae";;;;"Pelobates";;;;;;;"127388";"118609";;;"Gyldig";"Ingen_bistatus";17.01.2012;10.01.2011;;;;;84255;127389;"Nei";"løkfrosker";;"Bokmål";"Ja";17.01.2012;17.01.2012;;;;;;;;;;;;;;;;
"127387";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bombinatoridae";;;;"Bombina";;;;;;;"127386";"118607";;;"Gyldig";"Ingen_bistatus";17.01.2012;10.01.2011;;;;;84253;127387;"Nei";"klokkefrosker";;"Bokmål";"Ja";17.01.2012;17.01.2012;;;;;;;;;;;;;;;;
"169380";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bombinatoridae";;;;"Bombina";;;"orientalis";;;;"127387";"161117";;;"Gyldig";"Ingen_bistatus";07.12.2016;07.12.2016;;;;;139969;169380;"Nei";"orientalsk klokkefrosk";;"Bokmål";"Ja";07.12.2016;07.12.2016;;;;;;;;;;;;;;;;
"1574";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";;;;;;;"1573";"1573";30.04.2009;;"Gyldig";"Ingen_bistatus";28.02.2018;30.04.2009;;;;;1573;1574;"Nei";;;;;;;;;;;;;;;;;;;;;;
"147960";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Pelophylax";;;;;;;"1573";"139547";;"Fitzinger, 1843";"Gyldig";"Ingen_bistatus";06.02.2015;06.02.2015;;;;;107917;147960;"Nei";;;;;;;;;;;;;;;;;;;;;;
